Row Labels,Sum of C1_School closing,Sum of C1_Flag,Sum of C2_Workplace closing,Sum of C2_Flag,Sum of C3_Cancel public events,Sum of C3_Flag,Sum of C4_Restrictions on gatherings,Sum of C4_Flag,Sum of C5_Close public transport,Sum of C6_Stay at home requirements,Sum of C6_Flag,Sum of C7_Restrictions on internal movement,Sum of C7_Flag,Sum of C8_International travel controls,Sum of E1_Income support,Sum of E1_Flag,Sum of E2_Debt/contract relief,Sum of E3_Fiscal measures,Sum of E4_International support,Sum of H1_Public information campaigns,Sum of H1_Flag,Sum of H2_Testing policy,Sum of H3_Contact tracing,Sum of H4_Emergency investment in healthcare,Sum of H5_Investment in vaccines,Sum of H6_Facial Coverings,Sum of H6_Flag,Sum of ConfirmedCases,Sum of ConfirmedDeaths,Sum of StringencyIndex,Sum of StringencyIndexForDisplay,Sum of StringencyLegacyIndex,Sum of StringencyLegacyIndexForDisplay,Sum of GovernmentResponseIndex,Sum of GovernmentResponseIndexForDisplay,Sum of ContainmentHealthIndex,Sum of ContainmentHealthIndexForDisplay,Sum of EconomicSupportIndex,Sum of EconomicSupportIndexForDisplay
<2020/1/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(blank),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,0,,0,,0,,0,,0,0,,0,,10,0,,0,0,0,0,,7,31,0,0,0,,13,0,27.8,27.8,35.7,35.7,145.23,145.23,169.53,169.53,0,0
Feb,0,,0,,0,,0,,0,0,,0,,29,0,,0,0,0,0,,29,29,1015,0,0,,230,0,80.62,80.62,103.53,103.53,224.46,224.46,261.87,261.87,0,0
Mar,48,12,42,0,40,0,57,7,0,18,16,24,0,73,34,17,14,607000000,0,42,21,67,31,13541,200003820,0,,42464,476,1211.64,1211.64,1295.88,1295.88,1220.49,1220.49,1223.95,1223.95,1200,1200
Apr,90,30,90,3,60,0,120,0,0,30,30,60,0,120,60,30,30,1052000000,30000000,60,30,90,30,70801951,604082622.6,11,0,870504,36402,2186.25,2186.25,2246.34,2246.34,2058,2058,2026.02,2026.02,2250,2250
May,93,10,93,0,62,0,124,0,0,31,31,62,0,124,62,31,31,178860000,0,62,31,93,31,502223916.7,0,31,12,2290232,166297,2214.33,2214.33,2235.15,2235.15,2126.24,2126.24,2093.15,2093.15,2325,2325
Jun,90,0,81,9,60,0,120,0,0,30,30,60,0,120,60,30,30,14270100000,0,60,30,90,30,0,600000000,35,25,2952489,242533,2108.25,2108.25,2128.5,2128.5,2056.24,2056.24,2023.99,2023.99,2250,2250
Jul,93,0,62,8,62,0,124,0,0,31,31,62,0,124,62,31,31,13599871709,0,62,31,93,32,0,0,62,0,3389852,272584,2095.83,2095.83,2117.34,2117.34,2098.15,2098.15,2060.36,2060.36,2325,2325
Aug,93,0,62,0,62,0,124,0,0,31,31,62,0,104,62,31,31,26219236000,0,62,28,93,62,0,0,93,0,3782244,279745,2017.09,2017.09,2003.1,2003.1,2210.08,2210.08,2190.98,2190.98,2325,2325
Sep,67,0,60,0,60,0,120,0,0,30,30,60,0,90,60,30,30,0,0,60,30,90,60,0,0,90,0,4199037,275785,1845.4,1845.4,1832.19,1832.19,2070.16,2070.16,2040.26,2040.26,2250,2250
Oct,62,0,62,0,62,0,124,0,0,31,31,62,0,93,62,31,31,0,0,62,31,93,62,0,163000000,93,0,5966964,300936,1880.15,1880.15,1867.44,1867.44,2121.95,2121.95,2088.16,2088.16,2325,2325
Nov,18,0,18,0,18,0,36,0,0,9,9,18,0,27,18,9,9,144670000,0,18,9,27,18,0,0,27,0,2235568,92962,545.85,545.85,542.16,542.16,616.05,616.05,606.24,606.24,675,675
Grand Total,654,52,570,20,486,0,949,7,0,241,239,470,0,914,480,240,237,56071737709,30000000,488,241,772,416,573040423.7,1567086443,442,37,25729597,1667720,16213.21,16213.21,16407.33,16407.33,16947.05,16947.05,16784.51,16784.51,17925,17925
