Row Labels,Sum of C1_School closing,Sum of C1_Flag,Sum of C2_Workplace closing,Sum of C2_Flag,Sum of C3_Cancel public events,Sum of C3_Flag,Sum of C4_Restrictions on gatherings,Sum of C4_Flag,Sum of C5_Close public transport,Sum of C5_Flag,Sum of C6_Stay at home requirements,Sum of C6_Flag,Sum of C7_Restrictions on internal movement,Sum of C7_Flag,Sum of C8_International travel controls,Sum of E1_Income support,Sum of E1_Flag,Sum of E2_Debt/contract relief,Sum of E3_Fiscal measures,Sum of E4_International support,Sum of H1_Public information campaigns,Sum of H1_Flag,Sum of H2_Testing policy,Sum of H3_Contact tracing,Sum of H4_Emergency investment in healthcare,Sum of H5_Investment in vaccines,Sum of H6_Facial Coverings,Sum of H6_Flag,Sum of ConfirmedCases,Sum of ConfirmedDeaths,Sum of StringencyIndex,Sum of StringencyIndexForDisplay,Sum of StringencyLegacyIndex,Sum of StringencyLegacyIndexForDisplay,Sum of GovernmentResponseIndex,Sum of GovernmentResponseIndexForDisplay,Sum of ContainmentHealthIndex,Sum of ContainmentHealthIndexForDisplay,Sum of EconomicSupportIndex,Sum of EconomicSupportIndexForDisplay
<2020/1/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1月,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,11,0,0,0,,34,0,0,0,0,0,39.27,39.27,45.87,45.87,0,0
2月,0,,0,,0,,0,,0,,0,,0,,56,0,,0,0,100000000,0,,2,29,0,0,0,,665,0,155.68,155.68,199.92,199.92,208.25,208.25,242.97,242.97,0,0
3月,81,0,39,0,51,0,63,0,15,0,34,0,31,5,92,10,0,5,2.1512E+12,1574000000,32,16,77,31,3.06558E+11,826000000,22,0,925940,15268,1419.01,1419.01,1492.35,1492.35,1270.51,1270.51,1430.25,1430.25,312.5,312.5
4月,90,0,90,0,60,0,120,0,30,0,60,0,60,0,90,60,0,30,3.84E+11,495000000,60,30,90,30,1E+11,0,82,0,18695034,907077,2180.7,2180.7,2164.2,2164.2,2110.63,2110.63,2149.96,2149.96,1875,1875
5月,93,0,93,0,62,0,124,0,31,0,62,0,62,0,93,62,0,31,0,0,62,31,93,31,0,1200000000,93,0,44499539,2652791,2253.39,2253.39,2236.34,2236.34,2195.73,2195.73,2238.82,2238.82,1937.5,1937.5
6月,90,0,74,0,60,0,120,0,30,0,60,0,60,0,90,60,0,30,0,0,60,30,90,30,0,0,90,0,64043952,3474744,2121.34,2121.34,2107.08,2107.08,2086.82,2086.82,2122.12,2122.12,1875,1875
7月,93,0,62,0,62,0,124,0,31,0,50,12,62,0,93,62,0,31,0,1950000,62,31,93,31,0,4022000000,124,0,109256772,4281933,2116.18,2116.18,2125.67,2125.67,2163.16,2163.16,2200.75,2200.75,1937.5,1937.5
8月,93,0,62,0,62,0,124,0,31,0,31,31,62,0,93,62,0,31,0,0,62,31,93,31,750000,1000000000,124,0,164890459,5231271,2081.03,2081.03,2125.67,2125.67,2140.55,2140.55,2174.34,2174.34,1937.5,1937.5
9月,90,0,60,0,60,0,101,0,30,0,30,11,60,0,90,60,0,30,0,0,60,30,90,30,0,0,120,0,197926671,5860119,1925.93,1925.93,2021,2021,2014.88,2014.88,2038.27,2038.27,1875,1875
10月,93,0,62,0,62,0,93,0,31,0,44,0,62,0,93,62,0,31,0,0,62,31,93,31,0,0,124,0,249050054,6753471,1985.6,1985.6,2066.77,2066.77,2079.11,2079.11,2102.78,2102.78,1937.5,1937.5
11月,24,0,16,0,16,0,24,0,8,0,8,0,16,0,24,16,0,8,0,0,16,8,24,8,0,0,32,0,182247674,4299410,500,937.5,533.36,1000.05,528.56,991.05,533.36,1000.05,500,937.5
Grand Total,747,0,558,0,495,0,893,0,237,0,379,54,475,5,814,454,0,227,2.5352E+12,2170950000,476,238,745,293,4.06559E+11,7048000000,811,0,1031536794,33476084,16738.86,17176.36,17072.36,17539.05,16837.47,17299.96,17279.49,17746.18,14187.5,14625
